iter	Passed	Remaining
444	1131	1410
445	1132	1406
446	1133	1401
447	1133	1397
448	1134	1392
449	1135	1388
450	1136	1383
451	1137	1378
452	1138	1374
453	1139	1370
454	1140	1365
455	1140	1361
456	1142	1357
457	1145	1355
458	1146	1350
459	1147	1346
460	1148	1342
461	1149	1338
462	1150	1334
463	1151	1330
464	1152	1325
465	1153	1321
466	1154	1317
467	1154	1312
468	1155	1308
469	1156	1304
470	1158	1301
471	1159	1297
472	1160	1293
473	1161	1289
474	1162	1284
475	1163	1280
476	1164	1276
477	1165	1272
478	1165	1268
479	1166	1264
480	1167	1259
481	1168	1255
482	1169	1252
483	1170	1248
484	1171	1244
485	1172	1240
486	1174	1237
487	1175	1233
488	1176	1229
489	1177	1225
490	1178	1221
491	1179	1217
492	1180	1213
493	1181	1210
494	1182	1206
495	1183	1202
496	1183	1198
497	1184	1194
498	1185	1190
499	1186	1186
500	1189	1184
501	1191	1181
502	1192	1178
503	1193	1174
504	1194	1170
505	1195	1166
506	1195	1162
507	1196	1159
508	1197	1155
509	1198	1151
510	1199	1147
511	1200	1144
512	1201	1140
513	1202	1136
514	1204	1134
515	1205	1130
516	1206	1127
517	1207	1123
518	1208	1120
519	1209	1116
520	1210	1113
521	1211	1109
522	1212	1105
523	1213	1102
524	1214	1098
525	1215	1095
526	1216	1091
527	1217	1088
528	1219	1085
529	1220	1081
530	1220	1078
531	1221	1074
532	1222	1071
533	1223	1067
534	1224	1064
535	1225	1060
536	1226	1057
537	1227	1053
538	1228	1050
539	1228	1046
540	1229	1043
541	1230	1039
542	1231	1036
543	1234	1034
544	1235	1031
545	1236	1027
546	1237	1024
547	1238	1021
548	1238	1017
549	1239	1014
550	1240	1010
551	1241	1007
552	1242	1004
553	1243	1000
554	1244	997
555	1245	994
556	1250	994
557	1251	991
558	1252	988
559	1253	985
560	1254	981
561	1255	978
562	1256	975
563	1257	972
564	1258	968
565	1259	965
566	1259	962
567	1261	959
568	1262	955
569	1264	954
570	1265	950
571	1266	947
572	1267	944
573	1268	941
574	1269	938
575	1270	935
576	1271	931
577	1272	928
578	1273	925
579	1274	922
580	1275	919
581	1276	917
582	1277	914
583	1279	911
584	1280	908
585	1281	905
586	1282	902
587	1283	899
588	1284	896
589	1285	893
590	1286	890
591	1287	887
592	1288	884
593	1289	881
594	1291	878
595	1292	875
596	1294	873
597	1295	870
598	1296	867
599	1297	864
600	1299	862
601	1300	859
602	1301	856
603	1302	853
604	1302	850
605	1303	847
606	1304	844
607	1305	841
608	1306	838
609	1307	835
610	1309	833
611	1310	831
612	1311	828
613	1312	825
614	1313	822
615	1314	819
616	1316	817
617	1317	814
618	1318	811
619	1319	808
620	1320	805
621	1321	803
622	1322	800
623	1326	799
624	1327	796
625	1328	793
626	1329	791
627	1331	788
628	1333	786
629	1334	783
630	1335	780
631	1340	780
632	1342	778
633	1344	776
634	1345	773
635	1347	771
636	1348	768
637	1349	765
638	1350	762
639	1351	759
640	1355	758
641	1356	756
642	1358	754
643	1359	751
644	1360	748
645	1361	746
646	1362	743
647	1363	740
648	1364	738
649	1366	735
650	1369	734
651	1370	731
652	1371	728
653	1375	727
654	1376	725
655	1377	722
656	1378	719
657	1379	716
658	1380	714
659	1381	711
660	1386	711
661	1389	709
662	1390	706
663	1391	704
664	1392	701
665	1393	698
666	1394	696
667	1396	693
668	1396	691
669	1397	688
670	1399	686
671	1404	685
672	1405	683
673	1407	680
674	1408	678
675	1409	675
676	1411	673
677	1415	672
678	1416	669
679	1418	667
680	1419	665
681	1421	662
682	1422	660
683	1423	657
684	1424	655
685	1425	652
686	1426	649
687	1429	648
688	1431	646
689	1432	643
690	1433	640
691	1433	638
692	1434	635
693	1435	633
694	1436	630
695	1437	627
696	1438	625
697	1439	622
698	1440	620
699	1441	617
700	1443	615
701	1445	613
702	1446	611
703	1447	608
704	1448	606
705	1450	603
706	1451	601
707	1452	599
708	1453	596
709	1454	594
710	1455	591
711	1456	589
712	1460	587
713	1461	585
714	1462	583
715	1463	580
716	1464	578
717	1465	575
718	1466	573
719	1468	571
720	1469	568
721	1470	566
722	1471	563
723	1475	562
724	1476	560
725	1478	557
726	1479	555
727	1480	553
728	1482	550
729	1483	548
730	1484	546
731	1485	543
732	1486	541
733	1490	540
734	1491	537
735	1493	535
736	1494	533
737	1496	531
738	1497	528
739	1498	526
740	1499	524
741	1500	521
742	1501	519
743	1502	517
744	1507	515
745	1509	513
746	1510	511
747	1512	509
748	1513	507
749	1514	504
750	1515	502
751	1517	500
752	1519	498
753	1521	496
754	1522	494
755	1523	491
756	1524	489
757	1526	487
758	1527	484
759	1528	482
760	1529	480
761	1530	478
762	1531	475
763	1532	473
764	1537	472
765	1538	470
766	1540	467
767	1541	465
768	1542	463
769	1544	461
770	1545	458
771	1546	456
772	1547	454
773	1549	452
774	1552	450
775	1554	448
776	1557	447
777	1558	444
778	1559	442
779	1560	440
780	1561	437
781	1563	435
782	1567	434
783	1568	432
784	1569	429
785	1571	427
786	1573	425
787	1574	423
788	1575	421
789	1576	419
790	1578	417
791	1579	414
792	1581	412
793	1586	411
794	1587	409
795	1588	407
796	1589	404
797	1590	402
798	1592	400
799	1594	398
800	1595	396
801	1598	394
802	1599	392
803	1601	390
804	1602	388
805	1603	385
806	1604	383
807	1605	381
808	1607	379
809	1608	377
810	1609	375
811	1610	372
812	1614	371
813	1616	369
814	1617	367
815	1618	365
816	1619	362
817	1621	360
818	1622	358
819	1623	356
820	1624	354
821	1628	352
822	1629	350
823	1630	348
824	1632	346
825	1633	344
826	1634	341
827	1636	340
828	1638	337
829	1639	335
830	1649	335
831	1652	333
832	1655	331
833	1661	330
834	1663	328
835	1664	326
836	1666	324
837	1667	322
838	1669	320
839	1670	318
840	1675	316
841	1678	315
842	1680	312
843	1682	310
844	1683	308
845	1684	306
846	1685	304
847	1690	302
848	1698	302
849	1699	299
850	1700	297
851	1702	295
852	1706	294
853	1709	292
854	1712	290
855	1713	288
856	1714	286
857	1715	283
858	1717	281
859	1721	280
860	1722	278
861	1723	275
862	1725	273
863	1727	271
864	1728	269
865	1729	267
866	1730	265
867	1731	263
868	1733	261
869	1741	260
870	1742	258
871	1743	255
872	1744	253
873	1746	251
874	1747	249
875	1749	247
876	1752	245
877	1753	243
878	1754	241
879	1756	239
880	1758	237
881	1758	235
882	1759	233
883	1760	231
884	1761	228
885	1762	226
886	1763	224
887	1764	222
888	1765	220
889	1767	218
890	1768	216
891	1769	214
892	1770	212
893	1771	210
894	1772	207
895	1773	205
896	1774	203
897	1775	201
898	1776	199
899	1777	197
900	1777	195
901	1778	193
902	1779	191
903	1780	189
904	1782	187
905	1783	185
906	1784	183
907	1786	180
908	1787	178
909	1788	176
910	1789	174
911	1790	172
912	1791	170
913	1792	168
914	1793	166
915	1793	164
916	1794	162
917	1795	160
918	1797	158
919	1798	156
920	1799	154
921	1800	152
922	1800	150
923	1801	148
924	1802	146
925	1803	144
926	1804	142
927	1805	140
928	1806	138
929	1807	136
930	1808	134
931	1808	131
932	1809	129
933	1811	128
934	1812	126
935	1813	123
936	1814	121
937	1815	119
938	1816	117
939	1817	115
940	1818	113
941	1818	111
942	1819	110
943	1820	108
944	1821	106
945	1822	104
946	1823	102
947	1824	100
948	1825	98
949	1826	96
950	1827	94
951	1828	92
952	1829	90
953	1830	88
954	1831	86
955	1832	84
956	1833	82
957	1834	80
958	1835	78
959	1836	76
960	1837	74
961	1838	72
962	1839	70
963	1840	68
964	1842	66
965	1843	64
966	1844	62
967	1845	61
968	1846	59
969	1847	57
970	1848	55
971	1849	53
972	1850	51
973	1851	49
974	1852	47
975	1853	45
976	1855	43
977	1856	41
978	1857	39
979	1859	37
980	1860	36
981	1860	34
982	1861	32
983	1862	30
984	1863	28
985	1864	26
986	1865	24
987	1866	22
988	1867	20
989	1868	18
990	1869	16
991	1870	15
992	1871	13
993	1872	11
994	1873	9
995	1874	7
996	1876	5
997	1877	3
998	1878	1
999	1879	0
